fname time Tem kT_1 A B 
A115K1S128V1 1313305211 0 555 1.017905060E+00 5.580594096E-07 
A115K1S128V2 1313305025 0 555 1.018077542E+00 1.558251378E-06 
A115K1S128V4 1313304858 0 555 1.018176136E+00 5.125324172E-06 
A115K1S16V1 1313302344 0 555 1.017927555E+00 6.159288047E-07 
A115K1S16V2 1313302999 0 555 1.018122649E+00 5.599153848E-07 
A115K1S16V4 1313303271 0 555 1.018206353E+00 2.711375798E-06 
A115K1S250V1 1313308984 0 555 1.017890043E+00 9.106216320E-07 
A115K1S250V2 1313308783 0 555 1.018054455E+00 1.401008113E-06 
A115K1S250V4 1313308468 0 555 1.018129656E+00 8.597232081E-06 
A115K1S32V1 1313303816 0 555 1.017906250E+00 0.000000000E+00 
A115K1S32V2 1313303682 0 555 1.018073988E+00 1.353245673E-06 
A115K1S32V4 1313303497 0 555 1.018189898E+00 3.194716920E-06 
A115K1S475V1 1313310852 0 555 1.017926710E+00 1.237855134E-06 
A115K1S475V2 1313309468 0 555 1.018065916E+00 1.708828447E-06 
A115K1S475V4 1313309643 0 555 1.018168019E+00 1.643967879E-05 
A115K1S64V1 1313303943 0 555 1.017907267E+00 3.791275659E-07 
A115K1S64V2 1313304320 0 555 1.018066310E+00 5.700899196E-07 
A115K1S64V4 1313304621 0 555 1.018176155E+00 4.358562614E-06 
A115K1S860V1 1313310548 0 555 1.017969924E+00 1.312321972E-06 
A115K1S860V2 1313310351 0 555 1.018097199E+00 1.569281352E-06 
A115K1S860V4 1313310013 0 555 1.018167570E+00 1.199538459E-05 
A115K1S8V1 1313301924 0 555 1.017968750E+00 0.000000000E+00 
A115K1S8V2 1313301557 0 555 1.018135721E+00 1.007390031E-06 
A115K1S8V4 1313301744 0 555 1.018250419E+00 9.392103572E-07 
A115K2S128V1 1313360637 0 555 1.018354667E+00 6.803770419E-07 
A115K2S128V2 1313360352 0 555 1.018339562E+00 1.818508243E-06 
A115K2S128V4 1313360185 0 555 1.018322230E+00 7.762337130E-06 
