fname time Tem kT_1 A B 
ZA115K1S128V02 1314088152 0 555 -1.009336300E-04 4.647123290E-06 
ZA115K1S128V05 1314088354 0 555 -1.278331044E-04 4.613230772E-06 
ZA115K1S128V1 1314095610 0 555 -1.247524752E-04 3.377981238E-06 
ZA115K1S128V2 1314095829 0 555 -9.563442211E-05 4.268916737E-06 
ZA115K1S128V4 1314096010 0 555 -9.962121212E-05 5.567687977E-06 
ZA115K1S128V6 1314096298 0 555 -8.416193182E-05 4.304023174E-06 
ZA115K1S16V02 1313694375 0 555 -1.110491071E-04 1.727077178E-07 
ZA115K1S16V05 1313694572 0 555 -1.099911972E-04 1.616334524E-07 
ZA115K1S16V1 1313694752 0 555 -9.335691824E-05 1.956086655E-07 
ZA115K1S16V2 1313695363 0 555 -1.247767857E-04 1.114574350E-07 
ZA115K1S16V4 1313695857 0 555 -1.250000000E-04 0.000000000E+00 
ZA115K1S16V6 1313696058 0 555 -1.834239130E-04 1.427304599E-06 
ZA115K1S250V02 1314096476 0 555 -7.317376592E-05 5.940595091E-06 
ZA115K1S250V05 1314096720 0 555 -9.676995798E-05 5.290002472E-06 
ZA115K1S250V1 1314096932 0 555 -6.372070313E-05 5.604470674E-06 
ZA115K1S250V2 1314097237 0 555 -7.941878981E-05 6.105795183E-06 
ZA115K1S250V4 1314097420 0 555 -1.276435045E-04 6.383349964E-06 
ZA115K1S250V6 1314097857 0 555 -1.133828996E-04 4.416636857E-06 
ZA115K1S32V02 1313697636 0 555 -1.119006491E-04 1.093961013E-06 
ZA115K1S32V05 1313697307 0 555 -1.217854818E-04 1.122286228E-06 
ZA115K1S32V1 1313697088 0 555 -8.892517815E-05 1.372267659E-06 
ZA115K1S32V2 1313696846 0 555 -1.083690987E-04 1.322379346E-06 
ZA115K1S32V4 1313696590 0 555 -1.236979167E-04 7.491342173E-07 
ZA115K1S32V6 1313696427 0 555 -1.343703148E-04 3.274033916E-06 
ZA115K1S475V02 1314098054 0 555 -7.491262336E-05 5.848769264E-06 
ZA115K1S475V05 1314098247 0 555 -1.063858696E-04 6.165927076E-06 
ZA115K1S475V1 1314223004 0 555 -1.186990835E-04 6.205497023E-06 
ZA115K1S475V2 1314223269 0 555 -1.045548654E-04 6.369998656E-06 
ZA115K1S475V4 1314223516 0 555 -1.258296460E-04 7.042031804E-06 
ZA115K1S475V6 1314223829 0 555 -1.305338542E-04 6.925392739E-06 
ZA115K1S64V02 1313697963 0 555 -1.079608680E-04 1.775446461E-06 
ZA115K1S64V05 1313698225 0 555 -1.030325053E-04 1.693969632E-06 
ZA115K1S64V1 1313703703 0 555 -8.328748721E-05 3.576556887E-07 
ZA115K1S64V2 1313704196 0 555 -1.025302115E-04 1.576566309E-06 
ZA115K1S64V4 1313704519 0 555 -1.188455008E-04 1.301957363E-06 
ZA115K1S64V6 1313704893 0 555 -1.294117647E-04 3.843015004E-06 
ZA115K1S860V02 1314224239 0 555 -1.565870098E-04 5.786566473E-06 
ZA115K1S860V05 1314224515 0 555 -8.336415187E-05 5.927902178E-06 
ZA115K1S860V1 1314224685 0 555 -7.217741935E-05 8.052444575E-06 
ZA115K1S860V2 1314224969 0 555 -6.464694656E-05 6.977231802E-06 
ZA115K1S860V4 1314225178 0 555 -8.552631579E-05 7.453808475E-06 
ZA115K1S860V6 1314225410 0 555 -7.296580189E-05 8.594050444E-06 
ZA115K1S8V02 1313694155 0 555 -1.106905069E-04 1.212871240E-07 
ZA115K1S8V05 1313693437 0 555 -1.093750000E-04 0.000000000E+00 
ZA115K1S8V1 1313693289 0 555 -9.375000000E-05 0.000000000E+00 
ZA115K1S8V2 1313693106 0 555 -1.250000000E-04 0.000000000E+00 
ZA115K1S8V4 1313692769 0 555 -1.250000000E-04 0.000000000E+00 
ZA115K1S8V6 1313692962 0 555 -1.862903226E-04 8.539858890E-07 
ZA115K2S128V02 1314471718 0 555 -1.185260903E-04 6.418881823E-06 
ZA115K2S128V05 1314472088 0 555 -1.711448598E-04 5.992393264E-06 
ZA115K2S128V1 1314472269 0 555 -1.306464174E-04 5.804168017E-06 
ZA115K2S128V2 1314472448 0 555 -9.559968847E-05 5.791340964E-06 
ZA115K2S128V4 1314472625 0 555 -1.448598131E-04 7.347401826E-06 
ZA115K2S128V6 1314472806 0 555 -1.910046729E-04 6.769309193E-06 
ZA115K2S16V02 1314287004 0 555 -1.256327882E-04 3.914562328E-07 
ZA115K2S16V05 1314287186 0 555 -1.272877726E-04 4.417867713E-07 
ZA115K2S16V1 1314287367 0 555 -1.316199377E-04 7.138134339E-07 
ZA115K2S16V2 1314287674 0 555 -1.271417445E-04 6.355901897E-07 
ZA115K2S16V4 1314287879 0 555 -1.253894081E-04 3.894080997E-07 
ZA115K2S16V6 1314288074 0 555 -1.875000000E-04 0.000000000E+00 
ZA115K2S250V02 1314290755 0 555 -9.908002336E-05 7.468196378E-06 
ZA115K2S250V05 1314290947 0 555 -1.177472741E-04 7.892683523E-06 
ZA115K2S250V1 1314291129 0 555 -1.735786604E-04 7.245077403E-06 
ZA115K2S250V2 1314291376 0 555 -1.059190031E-04 7.270638723E-06 
ZA115K2S250V4 1314291563 0 555 -1.939252336E-04 8.359472753E-06 
ZA115K2S250V6 1314291872 0 555 -1.816588785E-04 9.057270565E-06 
ZA115K2S32V02 1314474251 0 555 -1.251216900E-04 1.673430409E-06 
ZA115K2S32V05 1314474433 0 555 -1.218847352E-04 1.725876133E-06 
ZA115K2S32V1 1314474625 0 555 -1.401869159E-04 1.829823181E-06 
ZA115K2S32V2 1314474915 0 555 -1.456386293E-04 1.998208117E-06 
ZA115K2S32V4 1314475185 0 555 -1.456386293E-04 2.594390368E-06 
ZA115K2S32V6 1314475364 0 555 -1.799065421E-04 2.066180626E-06 
ZA115K2S475V02 1314289483 0 555 -1.166033879E-04 8.010780208E-06 
ZA115K2S475V05 1314289796 0 555 -1.526966511E-04 7.626285223E-06 
ZA115K2S475V1 1314289994 0 555 -1.175038941E-04 8.474737006E-06 
ZA115K2S475V2 1314290211 0 555 -1.427180685E-04 8.169888424E-06 
ZA115K2S475V4 1314290391 0 555 -1.600467290E-04 9.495640857E-06 
ZA115K2S475V6 1314290571 0 555 -1.436915888E-04 9.849913157E-06 
ZA115K2S64V02 1314472998 0 555 -1.279205607E-04 2.523021312E-06 
ZA115K2S64V05 1314473177 0 555 -1.530860592E-04 2.034681338E-06 
ZA115K2S64V1 1314473358 0 555 -1.184774143E-04 2.182469235E-06 
ZA115K2S64V2 1314473539 0 555 -1.415498442E-04 2.575968428E-06 
ZA115K2S64V4 1314473731 0 555 -1.561526480E-04 3.170000787E-06 
ZA115K2S64V6 1314474067 0 555 -1.658878505E-04 3.347197069E-06 
ZA115K2S860V02 1314288257 0 555 -5.814349688E-05 7.601295983E-06 
ZA115K2S860V05 1314288450 0 555 -1.831678349E-04 7.194568433E-06 
ZA115K2S860V1 1314288635 0 555 -1.051401869E-04 8.337793870E-06 
ZA115K2S860V2 1314288823 0 555 -1.411604361E-04 8.147367061E-06 
ZA115K2S860V4 1314289004 0 555 -1.569314642E-04 1.007308886E-05 
ZA115K2S860V6 1314289205 0 555 -1.302570093E-04 1.097728802E-05 
ZA115K2S8V02 1314225729 0 555 -1.291296844E-04 1.940884424E-07 
ZA115K2S8V05 1314225907 0 555 -1.267954193E-04 2.781217351E-07 
ZA115K2S8V1 1314286433 0 555 -1.277663934E-04 5.091170841E-07 
ZA115K2S8V2 1314286604 0 555 -1.258090615E-04 4.025558062E-07 
ZA115K2S8V4 1314286714 0 555 -1.250000000E-04 0.000000000E+00 
ZA115K2S8V6 1314286820 0 555 -1.875000000E-04 0.000000000E+00 
ZETCH0FYS2YG1 1314078817 0 555 3.806448848E-06 2.494301596E-07 
ZETCH0FYS2YG10 1314080826 0 555 1.201285973E-03 1.492799985E-06 
ZETCH0FYS2YG11 1314080997 0 555 1.224007141E-03 1.424984209E-06 
ZETCH0FYS2YG12 1314081177 0 555 1.248067957E-03 1.438534811E-06 
ZETCH0FYS2YG13 1314081362 0 555 1.278108213E-03 1.542675577E-06 
ZETCH0FYS2YG14 1314081546 0 555 1.291285044E-03 1.624519113E-06 
ZETCH0FYS2YG15 1314082019 0 555 1.315591439E-03 1.010404931E-05 
ZETCH0FYS2YG2 1314079010 0 555 2.121041211E-04 1.077040526E-06 
ZETCH0FYS2YG3 1314079177 0 555 5.591301612E-04 1.514529492E-06 
ZETCH0FYS2YG4 1314079365 0 555 7.855709441E-04 1.367912701E-06 
ZETCH0FYS2YG5 1314079535 0 555 9.279997507E-04 1.464155022E-06 
ZETCH0FYS2YG6 1314079763 0 555 1.020762736E-03 1.268718723E-06 
ZETCH0FYS2YG7 1314079944 0 555 1.090213784E-03 1.532017621E-06 
ZETCH0FYS2YG8 1314080124 0 555 1.115637171E-03 1.399150774E-06 
ZETCH0FYS2YG9 1314080530 0 555 1.163181640E-03 1.359601035E-06 
ZETCH0FYSNG1 1314014982 0 555 5.786452796E-05 1.264356063E-05 
ZETCH0FYSNG10 1314018661 0 555 1.927297914E-03 2.763039593E-05 
ZETCH0FYSNG11 1314018828 0 555 2.159820817E-03 4.545503929E-05 
ZETCH0FYSNG12 1314019062 0 555 2.150990957E-03 3.319209139E-05 
ZETCH0FYSNG13 1314019476 0 555 1.822860581E-03 1.662143020E-05 
ZETCH0FYSNG14 1314019692 0 555 1.729093759E-03 1.089048264E-05 
ZETCH0FYSNG15 1314019944 0 555 1.735780472E-03 7.654420063E-06 
ZETCH0FYSNG2 1314015296 0 555 8.999696245E-04 2.962197996E-05 
ZETCH0FYSNG3 1314015478 0 555 1.292921114E-03 2.868755545E-05 
ZETCH0FYSNG4 1314015660 0 555 1.610431345E-03 2.387041243E-05 
ZETCH0FYSNG5 1314015837 0 555 1.491152944E-03 1.614885615E-05 
ZETCH0FYSNG6 1314016153 0 555 1.955350781E-03 3.094009093E-05 
ZETCH0FYSNG7 1314016337 0 555 1.836970416E-03 2.613281858E-05 
ZETCH0FYSNG8 1314016522 0 555 1.655506748E-03 1.406747649E-05 
ZETCH0FYSNG9 1314018328 0 555 1.825202649E-03 2.384616894E-05 
ZETCH0FYSYG1 1314028495 0 555 5.304907337E-08 3.724791543E-08 
ZETCH0FYSYG10 1314030767 0 555 8.750904108E-04 1.185258134E-06 
ZETCH0FYSYG11 1314030952 0 555 9.094916555E-04 1.174001128E-06 
ZETCH0FYSYG12 1314031123 0 555 9.416382430E-04 1.153826028E-06 
ZETCH0FYSYG13 1314031297 0 555 9.651208469E-04 9.940763626E-07 
ZETCH0FYSYG14 1314031626 0 555 9.836812231E-04 8.606820706E-07 
ZETCH0FYSYG15 1314031809 0 555 1.000862630E-03 9.129102099E-07 
ZETCH0FYSYG2 1314028742 0 555 2.490138483E-05 6.389201189E-07 
ZETCH0FYSYG3 1314028910 0 555 2.412774553E-04 1.531036091E-06 
ZETCH0FYSYG4 1314029080 0 555 4.718560404E-04 1.472425321E-06 
ZETCH0FYSYG5 1314029350 0 555 6.155542846E-04 1.029922941E-06 
ZETCH0FYSYG6 1314029778 0 555 6.998147589E-04 9.493452186E-07 
ZETCH0FYSYG7 1314029971 0 555 7.723494749E-04 1.261820160E-06 
ZETCH0FYSYG8 1314030331 0 555 8.048659626E-04 8.907793666E-07 
ZETCH0FYSYG9 1314030580 0 555 8.461143241E-04 1.071946630E-06 
ZINA1100 1314013621 0 555 0.000000000E+00 0.000000000E+00 
ZINA140 1314014697 0 555 1.079335793E-03 8.698414698E-05 
ZINA204 1314014397 0 555 3.657760814E-04 5.008704763E-05 
ZINA2116 1314013346 0 555 0.000000000E+00 0.000000000E+00 
ZINA332 1314014180 0 555 1.108562691E-04 2.373296441E-05 
ZINA4156 1314013016 0 555 0.000000000E+00 0.000000000E+00 
ZINA588 1314013995 0 555 1.651982379E-05 5.474120284E-06 
ZINA8244 1314012823 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH2R12G02 1313688346 0 555 0.000000000E+00 5.821307637E-06 
ZMCPCH2R12G05 1313688132 0 555 2.386634845E-05 8.409618315E-06 
ZMCPCH2R12G1 1313687896 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH2R12G2 1313687764 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH2R14G02 1313688568 0 555 -3.985969388E-07 1.913940559E-06 
ZMCPCH2R14G05 1313688858 0 555 1.555793991E-05 2.210776988E-06 
ZMCPCH2R14G1 1313689057 0 555 -1.871468927E-05 2.373780626E-06 
ZMCPCH2R14G2 1313689401 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH2R16G02 1313691122 0 555 5.886130137E-06 1.983429635E-07 
ZMCPCH2R16G05 1313690872 0 555 4.133597884E-07 7.449672495E-08 
ZMCPCH2R16G1 1313690255 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH2R16G2 1313689651 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH2R18G02 1313691345 0 555 5.765188769E-06 1.377382733E-07 
ZMCPCH2R18G05 1313691733 0 555 4.129719680E-06 1.761777392E-07 
ZMCPCH2R18G1 1313691932 0 555 -1.280014124E-06 2.125520419E-07 
ZMCPCH2R18G2 1313692087 0 555 -1.545577617E-05 9.734678763E-08 
ZMCPCH4R12G02 1313636089 0 555 -1.635514019E-05 5.817710093E-06 
ZMCPCH4R12G05 1313636467 0 555 -4.976019185E-05 5.646078749E-06 
ZMCPCH4R12G1 1313636561 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH4R12G2 1313636629 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH4R14G02 1313637348 0 555 -1.505602241E-05 1.729175979E-06 
ZMCPCH4R14G05 1313637143 0 555 -2.328767123E-05 1.979886812E-06 
ZMCPCH4R14G1 1313636938 0 555 -1.819620253E-05 2.483867651E-06 
ZMCPCH4R14G2 1313636759 0 555 0.000000000E+00 0.000000000E+00 
ZMCPCH4R16G02 1313686496 0 555 -5.505952381E-06 2.159069551E-07 
ZMCPCH4R16G05 1313686316 0 555 -7.517069328E-06 3.582056950E-07 
ZMCPCH4R16G1 1313686054 0 555 -1.385517799E-05 8.845872819E-07 
ZMCPCH4R16G2 1313685880 0 555 -8.984375000E-06 1.227690499E-06 
ZMCPCH4R18G02 1313686728 0 555 -6.078460621E-06 1.480045752E-07 
ZMCPCH4R18G05 1313687000 0 555 -8.699923935E-06 1.497675636E-07 
ZMCPCH4R18G1 1313687237 0 555 -1.364856802E-05 1.840313242E-07 
ZMCPCH4R18G2 1313687412 0 555 -2.407625786E-05 4.373246188E-07 
